date,country,newcases
2021-08-06,bulgaria,549
2021-08-07,bulgaria,392
2021-08-08,bulgaria,176
2021-08-09,bulgaria,774
2021-08-10,bulgaria,805
2021-08-11,bulgaria,782
2021-05-11,croatia,876
2021-05-12,croatia,1471
2021-05-13,croatia,1064
2021-05-14,croatia,926
2021-05-15,croatia,826
2021-05-16,croatia,480
2021-05-17,croatia,116
2021-05-18,croatia,491
2021-05-19,croatia,1000
2021-05-20,croatia,695
2021-05-21,croatia,525
2021-05-22,croatia,518
2021-05-23,croatia,251
2021-05-24,croatia,74
2021-05-25,croatia,323
2021-05-26,croatia,538
2021-05-27,croatia,375
2021-05-28,croatia,321
2021-05-29,croatia,338
2021-05-30,croatia,186
2021-05-31,croatia,40
2021-06-01,croatia,216
2021-06-02,croatia,432
2021-06-03,croatia,280
2021-06-04,croatia,88
2021-06-05,croatia,211
2021-06-06,croatia,157
2021-06-07,croatia,43
2021-06-08,croatia,178
2021-06-09,croatia,275
2021-06-10,croatia,184
2021-06-11,croatia,134
2021-06-12,croatia,125
2021-06-13,croatia,59
2021-06-14,croatia,18
2021-06-15,croatia,96
2021-06-16,croatia,146
2021-06-17,croatia,95
2021-06-18,croatia,113
2021-06-19,croatia,84
2021-06-20,croatia,58
2021-06-21,croatia,11
2021-06-22,croatia,75
2021-06-23,croatia,43
2021-06-24,croatia,101
2021-06-25,croatia,118
2021-06-26,croatia,86
2021-06-27,croatia,45
2021-06-28,croatia,14
2021-06-29,croatia,70
2021-06-30,croatia,136
2021-07-01,croatia,103
2021-07-02,croatia,92
2021-07-03,croatia,114
2021-07-04,croatia,56
2021-07-05,croatia,9
2021-07-06,croatia,96
2021-07-07,croatia,141
2021-07-08,croatia,110
2021-07-09,croatia,87
2021-07-10,croatia,88
2021-07-11,croatia,58
2021-07-12,croatia,15
2021-07-13,croatia,83
2021-07-14,croatia,155
2021-07-15,croatia,139
2021-07-16,croatia,131
2021-07-17,croatia,139
2021-07-18,croatia,107
2021-07-19,croatia,18
2021-07-20,croatia,146
2021-07-21,croatia,191
2021-07-22,croatia,179
2021-07-23,croatia,176
2021-07-24,croatia,191
2021-07-25,croatia,125
2021-07-26,croatia,27
2021-07-27,croatia,193
